QCod,QKateg,QPag,QLang,QLect,QPhoto,QSound,QBook
8,1,17,1,"Σε πόση απόσταση τουλάχιστον πρέπει να φωτίζουν επαρκώς την οδό, με συνθήκες αιθρίας, κατά τη νύκτα τα φώτα πορείας (μεγάλα) του αυτοκινήτου:","0","SQ-8","ΟΡΓΑΝΑ 31"
9,1,17,1,"Τι πρέπει να προσέχει ο οδηγός κατά τη χρησιμοποίηση των καθρεπτών ενός επιβατηγού:","0","SQ-9","ΟΡΓΑΝΑ 32"
10,1,17,1,"Ο ήχος που εκπέμπεται από το ηχητικό όργανο του οχήματος (κόρνα) πρέπει να είναι:","0","SQ-10","ΟΡΓΑΝΑ 34"
11,1,17,1,"Η χρήση ζώνης ασφαλείας είναι απαραίτητη και από τους επιβάτες των πίσω καθισμάτων:","0","SQ-11","ΟΡΓΑΝΑ 35"
12,1,17,1,"Ποια είναι τα φώτα διασταυρώσεως του αυτοκινήτου:","0","SQ-12","ΟΡΓΑΝΑ 36"
13,1,17,1,"Όταν δεν λειτουργούν τα φώτα τροχοπεδήσεως του οχήματός σας, με ποιον τρόπο οφείλετε να ειδοποιήσετε αυτόν που ακολουθεί, ότι έχετε πρόθεση να σταθμεύσετε:","0","SQ-13","ΟΡΓΑΝΑ 37"
14,1,200,1,"Σε ποια οχήματα είναι υποχρεωτικές οι ζώνες ασφαλείας στα μπροστινά καθίσματα:","0","SQ-14","ΟΡΓΑΝΑ 38"
15,1,17,1,"Τι πρέπει να προσέχει ο οδηγός κατά τη χρησιμοποίηση του καθρέπτη ενός επιβατηγού:","0","SQ-15","ΟΡΓΑΝΑ 41"
16,1,2,1,"Η νεκρή γωνία είναι μια περιοχή:","B02","SQ-16","ΟΔΗΓΟΣ 02"
17,1,2,1,"Για να εγκατασταθείτε σωστά στη θέση του οδηγού:","B03","SQ-17","ΟΔΗΓΟΣ 03"
18,1,16,1,"Ένα ογκώδες αντικείμενο δεν επιτρέπεται να εξέχει προς τα πίσω περισσότερο του 30% του μήκους του οχήματος χωρίς ειδική άδεια:","B05","SQ-18","ΟΔΗΓΟΣ 05"
19,1,17,1,"Για να επιβιβασθείτε στο όχημά σας:","0","SQ-19","ΟΔΗΓΟΣ 10"
20,1,20,1,"Εάν αλλάζετε λωρίδα, για να ελέγξετε καλά προς τα πίσω:","0","SQ-20","ΟΔΗΓΟΣ 11"
21,1,28,1,"Τα λαστιχάκια των υαλοκαθαριστήρων αντικαθίστανται:","0","SQ-21","ΟΔΗΓΟΣ 12"
22,1,20,1,"Για την ασφάλεια του παιδιού σας, μπορείτε να χρησιμοποιήσετε ανάλογα με το ύψος, το βάρος και την ηλικία του:","0","SQ-22","ΟΔΗΓΟΣ 13"
23,1,21,1,"Οδηγείτε με το επιβατηγό σας λίγο γρηγορότερα από την ταχύτητα βαδίσματος. Οι ζώνες ασφαλείας πρέπει να δεθούν:","0","SQ-23","ΟΔΗΓΟΣ 20"
24,1,21,1,"Ένα επιβατηγό είναι εφοδιασμένο με ζώνες ασφαλείας για όλες του τις θέσεις. Ποια πρόσωπα πρέπει να τις φορέσουν:","0","SQ-24","ΟΔΗΓΟΣ 22"
25,1,8,1,"Τι πρέπει να κάνετε βλέποντας αυτό το σήμα σε άλλη θέση πλην κόμβου:","C001","SQ-25","ΣΗΜΑΝΣΗ 01"
26,1,5,1,"Όταν συναντάτε αυτόν τον συνδυασμό πινακίδων, οδηγείτε σε δρόμο με προτεραιότητα:","C002","SQ-26","ΣΗΜΑΝΣΗ 02"
27,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C004","SQ-223","ΣΗΜΑΝΣΗ 04"
28,1,12,1,"Σε αυτήν τη φωτογραφία, λωρίδες κυκλοφορίας είναι οι:","C005","SQ-28","ΣΗΜΑΝΣΗ 05"
29,1,12,1,"Όταν σε περιοχές έργων στον αυτοκινητόδρομο, η οριζόντια σήμανση συμπεριλαμβάνει άσπρες και κίτρινες γραμμές ταυτόχρονα, σέβεστε:","C006","SQ-29","ΣΗΜΑΝΣΗ 06"
30,1,5,1,"Το όχημά σας έχει μήκος 4,5 m. Αυτή η πινακίδα σας απαγορεύει την είσοδο:","C007","SQ-30","ΣΗΜΑΝΣΗ 07"
31,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C008","SQ-223","ΣΗΜΑΝΣΗ 08"
32,1,9,1,"Αυτό το σήμα καθορίζει:","C009","SQ-32","ΣΗΜΑΝΣΗ 09"
33,1,12,1,"Οι ειδικές λωρίδες για τα λεωφορεία μπορούν να χρησιμοποιηθούν προσωρινά:","C010","SQ-33","ΣΗΜΑΝΣΗ 10"
34,1,12,1,"Οδηγείτε με 90 km/h σε αυτόν το δρόμο όπου η ορατότητα είναι καλή:","C011","SQ-34","ΣΗΜΑΝΣΗ 11"
35,1,9,1,"Ποιά είναι η σημασία της πινακίδας αυτής:","C012","SQ-244","ΣΗΜΑΝΣΗ 12"
36,1,9,1,"Τι επιτρέπεται να κάνετε όταν υπάρχει το σήμα αυτό:","C013","SQ-36","ΣΗΜΑΝΣΗ 13"
37,1,8,1,"Αυτή η πινακίδα σημαίνει:","C014","SQ-37","ΣΗΜΑΝΣΗ 14"
38,1,9,1,"Συναντώ αυτήν την πινακίδα με αρίθμηση:","C015","SQ-38","ΣΗΜΑΝΣΗ 15"
39,1,12,1,"Η ζώνη που προορίζεται για τη στάση λεωφορείων επισημαίνεται συνήθως με μια τεθλασμένη κίτρινη γραμμή (ζιγκ-ζαγκ). Μπορείτε:","C017","SQ-39","ΣΗΜΑΝΣΗ 17"
40,1,5,1,"Αυτή η πινακίδα απαγορεύει την είσοδο:","C018","SQ-40","ΣΗΜΑΝΣΗ 18"
41,1,8,1,"Αυτή η πινακίδα σημαίνει:","C019","SQ-41","ΣΗΜΑΝΣΗ 19"
42,1,8,1,"Κάθε φορά που συναντάτε αυτήν την πινακίδα:","C020","SQ-42","ΣΗΜΑΝΣΗ 20"
43,1,5,1,"Αυτή η πινακίδα συμβολίζει την απαγόρευση να στρίψετε αριστερά:","C021","SQ-43","ΣΗΜΑΝΣΗ 21"
44,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C023","SQ-223","ΣΗΜΑΝΣΗ 23"
45,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C024","SQ-223","ΣΗΜΑΝΣΗ 24"
46,1,201,1,"Αυτή η πινακίδα σημαίνει κίνδυνο λόγω:","C025","SQ-46","ΣΗΜΑΝΣΗ 25"
47,1,3,1,"Κάθε φορά που συναντάτε αυτήν την πινακίδα:","C026","SQ-47","ΣΗΜΑΝΣΗ 26"
48,1,3,1,"Κάθε φορά που συναντάτε αυτήν την πινακίδα, απαγορεύεται η είσοδος:","C027","SQ-48","ΣΗΜΑΝΣΗ 27"
49,1,8,1,"Αυτή η πινακίδα σημαίνει:","C028","SQ-49","ΣΗΜΑΝΣΗ 28"
50,1,4,1,"Αυτή η πινακίδα σημαίνει:","C029","SQ-50","ΣΗΜΑΝΣΗ 29"
51,1,1,1,"Βρίσκεσθε κατά λάθος σε μια λωρίδα επιβραδύνσεως και το συνειδητοποιείτε καθυστερημένα:","C031","SQ-51","ΣΗΜΑΝΣΗ 31"
52,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C033","SQ-223","ΣΗΜΑΝΣΗ 33"
53,1,6,1,"Όταν συναντάτε αυτήν την πινακίδα, οδηγείτε σε δρόμο με προτεραιότητα:","C034","SQ-53","ΣΗΜΑΝΣΗ 34"
54,1,8,1,"Αυτή η πινακίδα σημαίνει κίνδυνο λόγω:","C035","SQ-46","ΣΗΜΑΝΣΗ 35"
55,1,4,1,"Ποιά είναι η σημασία του σήματος αυτού:","C036","SQ-223","ΣΗΜΑΝΣΗ 36"
56,1,4,1,"Ποιά είναι η σημασία του σήματος αυτού:","C037","SQ-223","ΣΗΜΑΝΣΗ 37"
57,1,12,1,"Σε αυτήν την περίπτωση, έχετε το δικαίωμα να προσπεράσετε:","C040","SQ-57","ΣΗΜΑΝΣΗ 40"
58,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C042","SQ-223","ΣΗΜΑΝΣΗ 42"
59,1,9,1,"Ποιά από αυτές τις πινακίδες σημαίνει <<Μονόδρομος>>:","C043","SQ-59","ΣΗΜΑΝΣΗ 43"
60,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C044","SQ-223","ΣΗΜΑΝΣΗ 44"
61,1,7,1,"Έχομε 14 Μαΐου. Μπορείτε να σταθμεύσετε στην πλευρά της οδού όπου έχει τοποθετηθεί αυτή η πινακίδα:","C045","SQ-61","ΣΗΜΑΝΣΗ 45"
62,1,7,1,"Τι πρέπει να κάνετε βλέποντας αυτό το σήμα:","C046","SQ-62","ΣΗΜΑΝΣΗ 46"
63,1,5,1,"Αυτή η πινακίδα σημαίνει:","C047","SQ-63","ΣΗΜΑΝΣΗ 47"
64,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C048","SQ-223","ΣΗΜΑΝΣΗ 48"
65,1,4,1,"Ποιά είναι η σημασία του σήματος αυτού:","C049","SQ-223","ΣΗΜΑΝΣΗ 49"
66,1,12,1,"Αυτή η πινακίδα σας τονίζει:","C050","SQ-66","ΣΗΜΑΝΣΗ 50"
67,1,12,1,"Σε αυτήν την εικονογράφηση, όπου κινείσθε κατά τη φορά του βέλους η οριογραμμή του οδοστρώματος αντιστοιχεί στο σημείο:","C053","SQ-67","ΣΗΜΑΝΣΗ 53"
68,1,1,1,"Σε αυτήν την περίπτωση μπορείτε να επιχειρήσετε προσπέρασμα:","C056","SQ-68","ΣΗΜΑΝΣΗ 56"
69,1,4,1,"Ποιά είναι η σημασία της πινακίδας αυτής:","C057","SQ-244","ΣΗΜΑΝΣΗ 57"
70,1,8,1,"Τι δείχνει η πινακίδα αυτή:","C058","SQ-70","ΣΗΜΑΝΣΗ 58"
71,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C060","SQ-223","ΣΗΜΑΝΣΗ 60"
72,1,7,1,"Ποια οχήματα απαγορεύεται να εισέλθουν σε μία οδό με αυτήν τη σήμανση:","C061","SQ-72","ΣΗΜΑΝΣΗ 61"
73,1,4,1,"Ποιά είναι η σημασία της πινακίδας αυτής:","C062","SQ-244","ΣΗΜΑΝΣΗ 62"
74,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C063","SQ-223","ΣΗΜΑΝΣΗ 63"
75,1,9,1,"Η πινακίδα σας προειδοποιεί για:","C064","SQ-75","ΣΗΜΑΝΣΗ 64"
76,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C065","SQ-223","ΣΗΜΑΝΣΗ 65"
77,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C066","SQ-223","ΣΗΜΑΝΣΗ 66"
78,1,3,1,"Ποιά είναι η σημασία του σήματος αυτού:","C067","SQ-223","ΣΗΜΑΝΣΗ 67"
79,1,8,1,"Ποιά είναι η σημασία του σήματος αυτού:","C068","SQ-223","ΣΗΜΑΝΣΗ 68"
80,1,7,1,"Τι δείχνει το σήμα αυτό:","C069","SQ-80","ΣΗΜΑΝΣΗ 69"
81,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C070","SQ-223","ΣΗΜΑΝΣΗ 70"
82,1,7,1,"Ποιά είναι η σημασία του σήματος αυτού:","C071","SQ-223","ΣΗΜΑΝΣΗ 71"
83,1,9,1,"Η πινακίδα σας προειδοποιεί για:","C073","SQ-83","ΣΗΜΑΝΣΗ 73"
84,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C074","SQ-223","ΣΗΜΑΝΣΗ 74"
85,1,3,1,"Ποιά είναι η σημασία του σήματος αυτού:","C075","SQ-223","ΣΗΜΑΝΣΗ 75"
86,1,8,1,"Πώς συμπεριφέρεσθε βλέποντας αυτό το σήμα:","C076","SQ-86","ΣΗΜΑΝΣΗ 76"
87,1,8,1,"Ποιά είναι η σημασία του σήματος αυτού:","C077","SQ-223","ΣΗΜΑΝΣΗ 77"
88,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C078","SQ-223","ΣΗΜΑΝΣΗ 78"
89,1,11,1,"Τι υποδεικνύει ο συνδυασμός των πινακίδων αυτών:","C079","SQ-89","ΣΗΜΑΝΣΗ 79"
90,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C080","SQ-223","ΣΗΜΑΝΣΗ 80"
91,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C081","SQ-223","ΣΗΜΑΝΣΗ 81"
92,1,9,1,"Τι πρέπει να κάνετε βλέποντας αυτό το σήμα για να κατευθυνθείτε προς την Αθήνα:","C082","SQ-92","ΣΗΜΑΝΣΗ 82"
93,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C083","SQ-223","ΣΗΜΑΝΣΗ 83"
94,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C084","SQ-223","ΣΗΜΑΝΣΗ 84"
95,1,8,1,"Πώς συμπεριφέρεσθε βλέποντας αυτό το σήμα:","C085","SQ-95","ΣΗΜΑΝΣΗ 85"
96,1,8,1,"Ποιά είναι η σημασία του σήματος αυτού:","C086","SQ-223","ΣΗΜΑΝΣΗ 86"
97,1,3,1,"Ποιά πινακίδα επισημαίνει κίνδυνο λόγω ισόπεδης σιδηροδρομικής γραμμής χωρίς κινητά φράγματα:","C087","SQ-97","ΣΗΜΑΝΣΗ 87"
98,1,7,1,"Ποιά είναι η σημασία του σήματος αυτού:","C088","SQ-223","ΣΗΜΑΝΣΗ 88"
99,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C089","SQ-223","ΣΗΜΑΝΣΗ 89"
100,1,4,1,"Ποιά είναι η σημασία του σήματος αυτού:","C090","SQ-223","ΣΗΜΑΝΣΗ 90"
101,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C092","SQ-223","ΣΗΜΑΝΣΗ 92"
102,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C093","SQ-223","ΣΗΜΑΝΣΗ 93"
103,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C094","SQ-223","ΣΗΜΑΝΣΗ 94"
104,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C095","SQ-223","ΣΗΜΑΝΣΗ 95"
105,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C096","SQ-223","ΣΗΜΑΝΣΗ 96"
106,1,201,1,"Πώς ενεργείτε βλέποντας  το σήμα αυτό:","C097","SQ-106","ΣΗΜΑΝΣΗ 97"
107,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C098","SQ-223","ΣΗΜΑΝΣΗ 98"
108,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C099","SQ-223","ΣΗΜΑΝΣΗ 99"
109,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C100","SQ-223","ΣΗΜΑΝΣΗ 100"
110,1,5,1,"Ποιά είναι η σημασία του σήματος αυτού:","C101","SQ-223","ΣΗΜΑΝΣΗ 101"
111,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C102","SQ-223","ΣΗΜΑΝΣΗ 102"
112,1,9,1,"Ποιά είναι η σημασία του σήματος αυτού:","C103","SQ-223","ΣΗΜΑΝΣΗ 103"
