AQCod,AAA,ALect,ACorr,ASound
13,2,"Κάμπτοντας το βραχίονα προς τα κάτω.",1,"SA-13-2"
1001,1,"Όχι, γιατί με την παραμικρή πτώση θα έχετε σοβαρές σωματικές κακώσεις.",1,"SA-1001-1"
13,3,"Κάμπτοντας το βραχίονα προς τα πάνω.",0,"SA-13-3"
14,1,"Σε όλα τα επιβατηγά αυτοκίνητα.",0,"SA-14-1"
14,2,"Σε όλα τα επιβατηγά και φορτηγά αυτοκίνητα.",0,"SA-14-2"
14,3,"Σε όλα τα επιβατηγά και φορτηγά αυτοκίνητα μέγιστου επιτρεπόμενου βάρους μέχρι και 3.500 kg.",1,"SA-14-3"
15,1,"Οι καθρέπτες πρέπει να είναι προσαρμοσμένοι στον εκάστοτε οδηγό.",1,"SA-15-1"
15,2,"Ο εσωτερικός καθρέπτης καθιστά πάντα δυνατή τη πλήρη ορατότητα προς τα δεξιά.",0,"SA-15-2"
16,1,"Μη ορατή από τη θέση του οδηγού μέσω των καθρεπτών.",1,"SA-16-1"
16,2,"Ορατή μέσω των καθρεπτών.",0,"SA-16-2"
16,3,"Μη ορατή με λοξή ματιά πάνω από τους ώμους.",0,"SA-16-3"
17,1,"Πρέπει να μπορείτε να ακουμπάτε τους καρπούς των χεριών σας στο επάνω μέρος του τιμονιού και να μπορείτε να πατάτε ως το τέρμα το συμπλέκτη.",1,"SA-17-1"
17,2,"Πρέπει να μπορείτε να ακουμπάτε τα χέρια σας στον πίνακα ελέγχου.",0,"SA-17-2"
18,1,"ΝΑΙ",1,"SA-634-1"
18,2,"ΟΧΙ",0,"SA-600-2"
19,1,"Γυρνάτε την πλάτη σας στην κυκλοφορία της κατευθύνσεώς σας.",0,"SA-19-1"
19,2,"Βρίσκεσθε με πρόσωπο προς την κυκλοφορία της κατευθύνσεώς σας.",1,"SA-19-2"
20,1,"Σας αρκούν οι καθρέπτες.",0,"SA-20-1"
20,2,"Κοιτάτε μόνο τον εξωτερικό καθρέπτη.",0,"SA-20-2"
20,3,"Ελέγχετε με τους καθρέπτες και γυρνάτε το κεφάλι στην πλευρά που θα μπείτε.",1,"SA-20-3"
21,1,"Κάθε φορά που έχουν φθαρεί και τουλάχιστον μια φορά το χρόνο, κατά προτίμηση πριν το χειμώνα.",1,"SA-21-1"
21,2,"Κατά προτίμηση το καλοκαίρι.",0,"SA-21-2"
22,1,"Τα εγκεκριμένου τύπου παιδικά καθίσματα για το αυτοκίνητο.",1,"SA-22-1"
22,2,"Το δίχτυ ανάμεσα στα μπροστινά καθίσματα.",0,"SA-22-2"
23,1,"Όχι, σε διαδρομές μέσα σε κατοικημένες περιοχές.",0,"SA-23-1"
23,2,"Ναι, σε κάθε διαδρομή.",1,"SA-23-2"
23,3,"Μόνο σε διαδρομές στους αυτοκινητόδρομους και δρόμους ταχείας κυκλοφορίας.",0,"SA-23-3"
24,1,"Ο οδηγός και οι επιβάτες των εμπροσθίων καθισμάτων.",0,"SA-24-1"
24,2,"Μόνο ο οδηγός.",0,"SA-24-2"
24,3,"Ο οδηγός και όλοι οι επιβάτες.",1,"SA-24-3"
1001,2,"Ναι, αλλά με προσοχή και μικρή ταχύτητα.",0,"SA-1001-2"
1001,3,"Ναι, αρκεί να φοράτε προστατευτικό κράνος.",0,"SA-1001-3"
1002,1,"Το κράνος να είναι έγχρωμο.",0,"SA-1002-1"
1002,2,"Το κράνος να είναι εγκεκριμένου τύπου και να ταιριάζει στο κεφάλι του δικυκλιστή που θα το χρησιμοποιήσει.",1,"SA-1002-2"
1002,3,"Το κράνος να διατίθεται στην αγορά ανεξάρτητα αν είναι ή όχι εγκεκριμένου τύπου.",0,"SA-1002-3"
1003,1,"70 km/h.",1,"SA-1003-1"
25,1,"Να σταματήσετε στο ύψος της πινακίδας και να ξεκινήσετε όταν μπορείτε να το πράξετε χωρίς κίνδυνο.",1,"SA-25-1"
25,2,"Να περάσετε με προσοχή χωρίς να σταματήσετε.",0,"SA-25-2"
26,1,"ΝΑΙ",0,"SA-634-1"
26,2,"ΟΧΙ",1,"SA-600-2"
27,1,"Άνω (υπέργεια) διάβαση πεζών.",0,"SA-27-1"
27,2,"Κάτω (υπόγεια) διάβαση πεζών.",1,"SA-94-2"
27,3,"Ανισόπεδη διάβαση πεζών χωρίς σκαλοπάτια.",0,"SA-77-3"
28,1,"1",1,"SA-67-1"
28,2,"2",0,"SA-67-2"
28,3,"1 και 2",0,"SA-28-3"
29,1,"Μόνο τις άσπρες γραμμές.",0,"SA-29-1"
29,2,"Τις άσπρες και τις κίτρινες γραμμές.",0,"SA-29-2"
29,3,"Μόνο τις κίτρινες γραμμές.",1,"SA-29-3"
30,1,"ΝΑΙ",0,"SA-634-1"
30,2,"ΟΧΙ",1,"SA-600-2"
31,1,"Αναγγελία προσεγγίσεως σε ανισόπεδο κόμβο αυτοκινητόδρομου.",1,"SA-31-1"
31,2,"Αναγγελία προσεγγίσεως σε διασταύρωση οδού ταχείας κυκλοφορίας.",0,"SA-31-2"
31,3,"Αναγγελία προσεγγίσεως σε διασταύρωση εθνικής οδού.",0,"SA-31-3"
32,1,"Μια περιοχή σταθμεύσεως αριστερά.",0,"SA-32-1"
32,2,"Μια προειδοποίηση για αδιέξοδο δρόμο στα αριστερά.",1,"SA-32-2"
32,3,"Διακλάδωση αριστερά με αγροτική οδό που οδηγεί σε οικισμό.",0,"SA-32-3"
33,1,"Από τα οχήματα έκτακτης ανάγκης.",1,"SA-33-1"
33,2,"Από την κανονική κυκλοφορία.",0,"SA-33-2"
34,1,"Να είσθε έτοιμοι να μειώσετε την ταχύτητά σας: μπορεί να υπάρχει κάποιος κίνδυνος που δεν έχετε ακόμα παρατηρήσει.",1,"SA-34-1"
34,2,"Η ελάχιστη επιτρεπόμενη ταχύτητα είναι 90 km/h.",0,"SA-34-2"
35,1,"Προειδοποιητική κατευθύνσεων που τοποθετείται προ ανισόπεδου κόμβου σε αυτοκινητόδρομο.",1,"SA-35-1"
35,2,"Προειδοποιητική κατευθύνσεων που τοποθετείται προ κόμβου σε οδό ταχείας κυκλοφορίας.",0,"SA-35-2"
35,3,"Προειδοποιητική κατευθύνσεων που τοποθετείται προ κόμβου σε εθνική οδό.",0,"SA-35-3"
36,1,"Να σταθμεύσετε εφόσον διαθέτετε το προβλεπόμενο αντίτιμο σταθμεύσεως.",1,"SA-36-1"
36,2,"Να σταθμεύσετε επί πέντε λεπτά.",0,"SA-36-2"
36,3,"Να σταθμεύσετε εφόσον δεν παρακωλύετε την είσοδο ή την έξοδο.",0,"SA-36-3"
37,1,"Επικίνδυνο ανώμαλο οδόστρωμα, σε κακή κατάσταση, με λάκκους κλπ.",1,"SA-37-1"
37,2,"Βαθιά λακκούβα.",0,"SA-37-2"
38,1,"Σε οδό πόλεως.",0,"SA-38-1"
38,2,"Σε εθνική οδό.",1,"SA-38-2"
39,1,"Να πατήσετε αυτήν τη γραμμή ενώ οδηγείτε.",1,"SA-39-1"
39,2,"Να σταματήσετε για κάποια στιγμή σε εκείνο το σημείο.",0,"SA-39-2"
39,3,"Να σταθμεύσετε σε εκείνο το σημείο.",0,"SA-39-3"
40,1,"Στα μοτοποδήλατα και τις μοτοσυκλέτες.",0,"SA-40-1"
40,2,"Μόνο στα μοτοποδήλατα.",1,"SA-40-2"
41,1,"Κίνδυνος λόγω συχνής εισόδου ή διαβάσεως ποδηλατιστών.",1,"SA-96-3"
41,2,"Απαγορεύεται η είσοδος στους ποδηλάτες.",0,"SA-41-2"
42,1,"Οδηγείτε σε δρόμο με προτεραιότητα.",0,"SA-42-1"
42,2,"Πρόκειται για διασταύρωση όπου εφαρμόζεται η προτεραιότητα από τα δεξιά.",0,"SA-42-2"
42,3,"Έχετε προτεραιότητα μόνο στην επόμενη διασταύρωση.",1,"SA-42-3"
43,1,"ΝΑΙ",0,"SA-634-1"
43,2,"ΟΧΙ",1,"SA-600-2"
44,1,"Έξοδος από περιοχή επιτρεπόμενης σταθμεύσεως.",1,"SA-44-1"
44,2,"Έξοδος από περιοχή όπου απαγορεύεται η στάθμευση.",0,"SA-44-2"
44,3,"Έξοδος από περιοχή περιορισμένης σταθμεύσεως.",0,"SA-44-3"
45,1,"Χώρος σταθμεύσεως οχημάτων ατόμων με μειωμένη κινητικότητα.",1,"SA-45-1"
45,2,"Χώρος σταθμεύσεως αναπηρικών αμαξιδίων.",0,"SA-45-2"
45,3,"Οδός αποκλειστικής διελεύσεως αναπηρικών αμαξιδίων.",0,"SA-45-3"
46,1,"Ισόπεδης σιδηροδρομικής διαβάσεως με κινητά φράγματα.",1,"SA-46-1"
46,2,"Αφύλακτης σιδηροδρομικής διαβάσεως.",0,"SA-46-2"
47,1,"Σέβεστε μόνο την προτεραιότητα από τα δεξιά.",0,"SA-47-1"
47,2,"Παραχωρείτε την προτεραιότητα, δεξιά και αριστερά.",1,"SA-47-2"
47,3,"Διακόπτετε υποχρεωτικά την πορεία σας.",0,"SA-47-3"
48,1,"Σε κάθε όχημα.",0,"SA-48-1"
48,2,"Σε μηχανοκίνητα οχήματα.",1,"SA-48-2"
48,3,"Σε όλα τα ποδήλατα και τα αγροτικά μηχανήματα.",0,"SA-48-3"
49,1,"Ολισθηρό οδόστρωμα.",1,"SA-173-3"
49,2,"Επικίνδυνες στροφές.",0,"SA-49-2"
50,1,"Κίνδυνος λόγω διαβάσεως πεζών.",1,"SA-50-1"
50,2,"Απαγόρευση εισόδου στους πεζούς.",0,"SA-50-2"
50,3,"Οδός υποχρεωτικής διελεύσεως πεζών.",0,"SA-50-3"
51,1,"Αλλάζετε λωρίδα.",0,"SA-51-1"
51,2,"Μένετε στην ίδια λωρίδα, ακόμα και αν κάνατε λάθος.",1,"SA-51-2"
52,1,"Απαγορεύεται η ανάπτυξη ταχύτητας μεγαλύτερης των 30 km/h.",0,"SA-52-1"
52,2,"Τέλος υποχρεωτικής ελάχιστης ταχύτητας 30 km/h.",1,"SA-52-2"
52,3,"Έξοδος από περιοχή όπου ισχύει ανώτατο όριο ταχύτητας 30 km/h.",0,"SA-52-3"
53,1,"ΝΑΙ",1,"SA-634-1"
53,2,"OXI",0,"SA-53-2"
54,1,"Συχνού ισχυρού ανεμού (όπως δείχνει η κατεύθυνση του ανεμουρίου).",1,"SA-54-1"
54,2,"Ισχυρού μετωπικού ανέμου λόγω προσεγγίσεως σε αεροδρόμιο.",0,"SA-54-2"
55,1,"Διακλάδωση με κάθετη οδό όπου ισχύει η προτεραιότητα από δεξιά.",0,"SA-55-1"
55,2,"Διακλάδωση με κάθετη οδό δεξιά, οι επί της οποίας κινούμενοι οφείλουν να παραχωρήσουν προτεραιότητα.",1,"SA-55-2"
55,3,"Υποχρεωτική στροφή δεξιά.",0,"SA-144-3"
56,1,"Κλειστή οδός για όλα τα οχήματα και από τις δυο κατευθύνσεις.",1,"SA-56-1"
56,2,"Προσέγγιση σε κυκλικό κόμβο.",0,"SA-56-2"
56,3,"Αδιέξοδο.",0,"SA-56-3"
57,1,"ΝΑΙ",1,"SA-634-1"
57,2,"ΟΧΙ",0,"SA-600-2"
58,1,"Τέλος αρχαιολογικού χώρου.",0,"SA-58-1"
58,2,"Τέλος περιοχής κατοικίας.",1,"SA-58-2"
58,3,"Τέλος τουριστικής περιοχής.",0,"SA-58-3"
59,1,"Η πινακίδα (Α)",1,"SA-59-1"
59,2,"Η πινακίδα (Β)",0,"SA-59-2"
60,1,"Περιοχή επιτρεπόμενης σταθμεύσεως.",1,"SA-60-1"
60,2,"Περιοχή όπου απαγορεύεται η στάθμευση.",0,"SA-60-2"
60,3,"Περιοχή περιορισμένης σταθμεύσεως.",0,"SA-60-3"
61,1,"ΝΑΙ",0,"SA-634-1"
61,2,"ΟΧΙ",1,"SA-600-2"
62,1,"Να τοποθετήσετε αντιολισθητικές αλυσίδες χιονιού, σε δύο τουλάχιστον από τους κινητήριους τροχούς του αυτοκινήτου.",1,"SA-62-1"
62,2,"Να τοποθετήσετε αντιολισθητικές αλυσίδες χιονιού, στους πίσω τροχούς του αυτοκινήτου.",0,"SA-62-2"
62,3,"Να τοποθετήσετε αντιολισθητικές αλυσίδες χιονιού, στους εμπρόσθιους τροχούς του αυτοκινήτου.",0,"SA-62-3"
63,1,"Κίνδυνος λόγω συχνής διελεύσεως πεζών.",0,"SA-63-1"
63,2,"Οδός υποχρεωτικής διελεύσεως πεζών και απαγόρευση διελεύσεως οχημάτων πλην αυτών άμεσης ανάγκης και για την είσοδο-έξοδο σε παρόδιες ιδιοκτησίες.",1,"SA-63-2"
63,3,"Επιτρέπεται η διέλευση μόνον όσων πεζών συνοδεύουν παιδιά.",0,"SA-63-3"
64,1,"Αρχή περιοχής κατοικίας.",1,"SA-64-1"
64,2,"Τουριστική περιοχή.",0,"SA-64-2"
64,3,"Αρχαιολογικός χώρος.",0,"SA-64-3"
65,1,"Προσοχή άλλοι κίνδυνοι (που δεν μπορούν να περιγραφούν με άλλες πινακίδες).",1,"SA-65-1"
65,2,"Υποχρεωτική πορεία κατ' ευθείαν εμπρός.",0,"SA-210-2"
65,3,"Υποχρεωτική προτεραιότητα στην επόμενη διασταύρωση.",0,"SA-65-3"
66,1,"Κίνδυνο για τα επόμενα 1.000 m του δρόμου.",1,"SA-66-1"
66,2,"Έναν κίνδυνο που βρίσκεται 1.000 m μετά την πινακίδα.",0,"SA-66-2"
67,1,"1",1,"SA-67-1"
67,2,"2",0,"SA-67-2"
68,1,"ΝΑΙ",0,"SA-634-1"
68,2,"OXI",1,"SA-53-2"
69,1,"Υποχρεωτική κατεύθυνση πορείας με στροφή αριστερά.",0,"SA-128-2"
69,2,"Επικίνδυνη αριστερή στροφή.",1,"SA-69-2"
69,3,"Απαγορεύεται η αριστερή στροφή.",0,"SA-104-3"
70,1,"Τον τρόπο σταθμεύσεως του οχήματος.",0,"SA-152-1"
70,2,"Επικίνδυνο έρεισμα αριστερά.",1,"SA-70-2"
70,3,"Αριστερά από το οδόστρωμα υπάρχει αυλάκι με νερό.",0,"SA-70-3"
71,1,"Απαγορεύεται η είσοδος σε μηχανοκίνητα οχήματα εκτός των διτρόχων μοτοσυκλετών.",0,"SA-71-1"
71,2,"Απαγορεύεται η είσοδος στις μοτοσυκλέτες.",1,"SA-71-2"
71,3,"Οδός αποκλειστικής κυκλοφορίας διτρόχων οχημάτων.",0,"SA-71-3"
72,1,"Τα οχήματα που έχουν απόβαρο που δεν υπερβαίνει τους πέντε τόνους.",0,"SA-72-1"
72,2,"Τα οχήματα βάρους ανά άξονα που δεν υπερβαίνει τους δύο τόνους.",0,"SA-72-2"
72,3,"Τα οχήματα συνολικού βάρους που υπερβαίνει τους πέντε τόνους.",1,"SA-72-3"
73,1,"Απαγορεύεται η αναστροφή (στροφή 180°).",1,"SA-153-3"
73,2,"Απαγορεύεται η αριστερή στροφή.",0,"SA-104-3"
73,3,"Απαγορεύεται η δεξιά στροφή.",0,"SA-73-3"
74,1,"Οδός αποκλειστικής κυκλοφορίας μοτοποδηλάτων και πεζών.",0,"SA-74-1"
74,2,"Η κάθε κατηγορία χρηστών πρέπει να χρησιμοποιεί την πλευρά του αντίστοιχου διαδρόμου που είναι ειδικά επιλεγμένη γι' αυτήν την κατηγορία.",1,"SA-74-2"
74,3,"Απαγορεύεται η είσοδος σε πεζούς και μοτοποδήλατα.",0,"SA-74-3"
75,1,"Μία έξοδο από την οδό ταχείας κυκλοφορίας, σε απόσταση 200 m.",0,"SA-75-1"
75,2,"Δύο εξόδους από την οδό ταχείας κυκλοφορίας σε απόσταση 200 m.",1,"SA-75-2"
75,3,"Τρεις εξόδους από την οδό ταχείας κυκλοφορίας σε απόσταση 200 m.",0,"SA-75-3"
76,1,"Κατεύθυνση προς χώρο επιτρεπόμενης σταθμεύσεως.",1,"SA-76-1"
76,2,"Μονόδρομος.",0,"SA-210-1"
76,3,"Έξοδος από χώρο επιτρεπόμενης σταθμεύσεως.",0,"SA-76-3"
77,1,"Άνω (υπέργεια) διάβαση πεζών.",1,"SA-27-1"
77,2,"Κάτω (υπόγεια) διάβαση πεζών.",0,"SA-94-2"
77,3,"Ανισόπεδη διάβαση πεζών χωρίς σκαλοπάτια.",0,"SA-77-3"
78,1,"Υποχρεωτική κατεύθυνση πορείας με στροφή δεξιά.",0,"SA-160-2"
78,2,"Επικίνδυνη δεξιά στροφή.",1,"SA-78-2"
78,3,"Απαγορεύεται η δεξιά στροφή.",0,"SA-73-3"
79,1,"Η οδός οδηγεί σε αποβάθρα.",0,"SA-79-1"
79,2,"Προσοχή! Γέφυρα χωρίς κάγκελα.",0,"SA-79-2"
79,3,"Κινητή γέφυρα.",1,"SA-79-3"
80,1,"Υποχρεωτική πορεία σε μία σειρά.",0,"SA-80-1"
80,2,"Συχνή κυκλοφοριακή συμφόρηση.",1,"SA-80-2"
80,3,"Απαγορεύεται η είσοδος σε περισσότερα από τρία οχήματα.",0,"SA-80-3"
81,1,"Απαγορεύεται η είσοδος σε όλα τα μηχανοκίνητα οχήματα.",0,"SA-81-1"
81,2,"Απαγορεύεται η είσοδος στα ποδήλατα.",1,"SA-81-2"
81,3,"Οδός αποκλειστικής κυκλοφορίας ποδηλάτων.",0,"SA-81-3"
82,1,"Οδόστρωμα πλάτους 2 m.",0,"SA-82-1"
82,2,"Απαγορεύεται η είσοδος σε οχήματα συνολικού πλάτους που υπερβαίνει τα 2 m.",1,"SA-82-2"
82,3,"Απαγορεύεται η προσέγγιση προπορευόμενου οχήματος σε απόσταση μικρότερη των 2 m.",0,"SA-82-3"
83,1,"Μία έξοδο από την οδό ταχείας κυκλοφορίας, σε απόσταση 400 m από την πινακίδα.",1,"SA-83-1"
83,2,"Δύο εξόδους από την οδό ταχείας κυκλοφορίας, σε απόσταση 400 m από την πινακίδα.",0,"SA-83-2"
83,3,"Καμμία έξοδο από την οδό ταχείας κυκλοφορίας.",0,"SA-83-3"
84,1,"Αγροτικό Ιατρείο.",0,"SA-84-1"
84,2,"Σταθμός Πρώτων Βοηθειών.",1,"SA-208-3"
84,3,"Νοσοκομείο.",0,"SA-102-3"
85,1,"Επικίνδυνες δύο αντίρροπες ή διαδοχικές (συνεχείς) στροφές από τις οποίες η πρώτη είναι δεξιά.",1,"SA-85-1"
85,2,"Επικίνδυνες δύο αντίρροπες ή διαδοχικές στροφές από τις οποίες η πρώτη είναι αριστερά.",0,"SA-104-1"
85,3,"Απαγορεύεται η δεξιά στροφή.",0,"SA-73-3"
86,1,"Προσπερνάτε τα προπορευόμενα οχήματα.",0,"SA-86-1"
86,2,"Δεν προσπερνάτε σε καμμία περίπτωση.",1,"SA-86-2"
86,3,"Παραχωρείτε προτεραιότητα στην αντίθετη κυκλοφορία.",0,"SA-165-3"
87,1,"Προσέγγιση σε κυκλική υποχρεωτική πορεία.",1,"SA-100-3"
87,2,"Υποχρεωτική κίνηση των οχημάτων σε μια σειρά.",0,"SA-87-2"
87,3,"Δρόμος κλειστός για όλα τα οχήματα.",0,"SA-87-3"
88,1,"Απαγορεύεται η είσοδος σε φορτηγά οχήματα.",0,"SA-117-1"
88,2,"Απαγορεύεται η είσοδος σε μηχανοκίνητο όχημα το οποίο σύρει ρυμουλκούμενο πλην ημιρυμουλκούμενου ή ρυμουλκούμενου ενός άξονα.",1,"SA-88-2"
88,3,"Απαγορεύεται η είσοδος σε ρυμουλκούμενα οχήματα.",0,"SA-88-3"
89,1,"Η στάθμευση επιτρέπεται μόνο για τα ταξί.",1,"SA-89-1"
89,2,"Η στάθμευση στα ταξί απαγορεύεται.",0,"SA-89-2"
89,3,"Κατεύθυνση προς χώρο σταθμεύσεως ταξί.",0,"SA-89-3"
90,1,"Είσοδος σε περιοχή όπου απαγορεύεται η ανάπτυξη ταχύτητας μεγαλύτερης των 50 km/h.",0,"SA-90-1"
90,2,"Υποχρεωτική σταθερή ταχύτητα 50 km/h.",0,"SA-90-2"
90,3,"Έξοδος από περιοχή όπου ισχύει ανώτατο όριο ταχύτητας 50 km/h.",1,"SA-161-3"
91,1,"Κινείσθε σε οδό προτεραιότητας.",1,"SA-91-1"
91,2,"Παραχώρηση προτεραιότητας.",0,"SA-91-2"
91,3,"Οδός ταχείας κυκλοφορίας.",0,"SA-91-3"
92,1,"Να στρίψετε δεξιά.",1,"SA-92-1"
92,2,"Να συνεχίσετε ευθεία.",0,"SA-92-2"
92,3,"Να στρίψετε αριστερά.",0,"SA-92-3"
93,1,"Αγροτικό Ιατρείο.",0,"SA-84-1"
93,2,"Τηλέφωνο.",0,"SA-194-2"
93,3,"Συνεργείο επισκευής βλαβών.",1,"SA-93-3"
94,1,"Άνω (υπέργεια) διάβαση πεζών.",0,"SA-27-1"
94,2,"Κάτω (υπόγεια) διάβαση πεζών.",0,"SA-94-2"
94,3,"Ανισόπεδη διάβαση πεζών χωρίς σκαλοπάτια.",1,"SA-77-3"
95,1,"Φρενάρετε.",0,"SA-350-1"
95,2,"Φρενάρετε και κατεβάζετε ταχύτητα.",1,"SA-95-2"
95,3,"Συνεχίζετε με την ίδια ταχύτητα.",0,"SA-95-3"
96,1,"Η κυκλοφορία των ποδηλατιστών έχει προτεραιότητα.",0,"SA-96-1"
96,2,"Προσέγγιση σε ποδηλατοδρόμιο.",0,"SA-96-2"
96,3,"Κίνδυνος λόγω συχνής εισόδου ή διαβάσεως ποδηλατιστών",1,"SA-96-3"
97,1,"Η πινακίδα Α.",0,"SA-97-1"
97,2,"Η πινακίδα Β.",0,"SA-97-2"
97,3,"Η πινακίδα Γ.",1,"SA-97-3"
98,1,"Κίνδυνος λόγω κυκλοφορίας ζωηλάτων οχημάτων.",0,"SA-98-1"
98,2,"Απαγορεύεται η είσοδος σε ζωήλατα οχήματα.",1,"SA-98-2"
98,3,"Επιτρέπεται η είσοδος μόνο σε ζωήλατα οχήματα.",0,"SA-98-3"
99,1,"Απαγορεύεται η είσοδος σε χειράμαξες.",1,"SA-99-1"
99,2,"Κλειστή οδός για όλα τα οχήματα εκτός των χειραμαξών.",0,"SA-99-2"
99,3,"Απαγορεύεται η στάθμευση χειραμαξών.",0,"SA-99-3"
100,1,"Υποχρεωτική κίνηση των οχημάτων σε μία σειρά.",0,"SA-100-1"
100,2,"Κυκλική υποχρεωτική διαδρομή.",1,"SA-100-2"
100,3,"Προσέγγιση σε κυκλική υποχρεωτική πορεία.",0,"SA-100-3"
101,1,"Προειδοποίηση για αδιέξοδη οδό δεξιά.",1,"SA-101-1"
101,2,"Διακλάδωση δεξιά με αγροτική οδό που οδηγεί σε οικισμό.",0,"SA-101-2"
101,3,"Δεξιά της οδού υπάρχει χώρος σταθμεύσεως οχημάτων.",0,"SA-101-3"
102,1,"Τηλέφωνο.",1,"SA-194-2"
102,2,"Αναψυκτήριο.",0,"SA-102-2"
102,3,"Νοσοκομείο.",0,"SA-102-3"
103,1,"Ανώτατη ταχύτητα 60 km/h.",0,"SA-103-1"
103,2,"Συνιστώμενη ταχύτητα 60 km/h.",1,"SA-103-2"
103,3,"Ελάχιστη ταχύτητα 60 km/h.",0,"SA-103-3"
104,1,"Επικίνδυνες δύο αντίρροπες ή διαδοχικές στροφές από τις οποίες η πρώτη είναι αριστερά.",1,"SA-104-1"
104,2,"Επικίνδυνες δύο αντίρροπες ή διαδοχικές στροφές από τις οποίες η πρώτη είναι δεξιά.",0,"SA-104-2"
104,3,"Απαγορεύεται η αριστερή στροφή.",0,"SA-104-3"
105,1,"Αστυνομία.",1,"SA-105-1"
105,2,"Τουριστικές πληροφορίες.",0,"SA-105-2"
105,3,"Τελωνείο.",0,"SA-105-3"
106,1,"Ανακόπτετε ταχύτητα, ελέγχετε αν πλησιάζει σιδηροδρομικός συρμός και συνεχίζετε την πορεία σας.",0,"SA-106-1"
106,2,"Διακόπτετε την πορεία σας στην ειδική προς τούτο γραμμή ή σε περίπτωση που δεν υπάρχει τέτοια, στη θέση της πινακίδας και δεν ξεκινάτε αν δεν βεβαιωθείτε ότι δεν πλησιάζει σιδηροδρομικός συρμός.",1,"SA-106-2"
106,3,"Συνεχίζετε την πορεία σας χωρίς καθυστέρηση.",0,"SA-106-3"
107,1,"Απαγορεύεται η είσοδος σε πεζούς.",1,"SA-107-1"
107,2,"Κίνδυνος λόγω διαβάσεως πεζών.",0,"SA-107-2"
107,3,"Οδός αποκλειστικής κυκλοφορίας πεζών.",0,"SA-107-3"
108,1,"Η κυκλοφορία των αγροτικών μηχανημάτων έχει προτεραιότητα.",0,"SA-108-1"
